DATE: 2024-03-10 13:36:29,641 INFO: We4not, welcome to EyeTerminal
DATE: 2024-03-10 13:40:04,126 INFO: We4not: help
DATE: 2024-03-10 13:40:05,610 INFO: We4not: system
DATE: 2024-03-10 13:40:05,610 INFO: [96m                            .oodMMMM
DATE: 2024-03-10 13:40:05,610 INFO:                    .oodMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,610 INFO:        ..oodMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,610 INFO:  oodMMMMMMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,610 INFO:  MMMMMMMMMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,610 INFO:  MMMMMMMMMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,610 INFO:  MMMMMMMMMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,610 INFO:  MMMMMMMMMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,626 INFO:  MMMMMMMMMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,626 INFO:                                     
DATE: 2024-03-10 13:40:05,626 INFO:  MMMMMMMMMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,626 INFO:  MMMMMMMMMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,626 INFO:  MMMMMMMMMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,626 INFO:  MMMMMMMMMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,626 INFO:  MMMMMMMMMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,626 INFO:  `^^^^^^MMMMMMM  MMMMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,626 INFO:        ````^^^^  ^^MMMMMMMMMMMMMMMMM
DATE: 2024-03-10 13:40:05,626 INFO:                       ````^^^^^^MMMM
DATE: 2024-03-10 13:40:05,626 INFO: System: Windows
CPU Name: Intel64 Family 6 Model 23 Stepping 10, GenuineIntel
CPU Cores: 2

DATE: 2024-03-10 13:40:06,673 INFO: We4not: login
DATE: 2024-03-10 13:40:06,673 INFO: We4not
DATE: 2024-03-10 13:40:07,985 INFO: We4not: claea
DATE: 2024-03-10 13:40:07,985 ERROR: claea Command not found
DATE: 2024-03-10 13:40:09,392 INFO: We4not: clear
DATE: 2024-03-10 13:40:13,845 INFO: We4not: readfile config.cfg
DATE: 2024-03-10 13:40:13,861 INFO: 
DATE: 2024-03-10 13:40:17,830 INFO: We4not: readfile
DATE: 2024-03-10 13:40:17,830 ERROR: Error! Argument <file> is not specified
DATE: 2024-03-10 13:40:18,705 INFO: We4not: readfile 
DATE: 2024-03-10 13:40:18,705 ERROR: Error! File doesn't exists
DATE: 2024-03-10 13:40:19,830 INFO: We4not: readfile   
DATE: 2024-03-10 13:40:19,830 ERROR: Error! File doesn't exists
DATE: 2024-03-10 13:40:22,893 INFO: We4not: help
DATE: 2024-03-10 13:40:26,300 INFO: We4not: version
DATE: 2024-03-10 13:40:26,300 INFO: EyeTerminal: EyeTerminal v1.1 beta
DATE: 2024-03-10 13:40:27,894 INFO: We4not: ls
DATE: 2024-03-10 13:40:27,941 DEBUG: EyeTerminal: calling a command >> dir
DATE: 2024-03-10 13:40:31,050 INFO: We4not: logtest
DATE: 2024-03-10 13:40:31,050 DEBUG: A DEBUG Message
DATE: 2024-03-10 13:40:31,050 INFO: An INFO
DATE: 2024-03-10 13:40:31,050 WARNING: A WARNING
DATE: 2024-03-10 13:40:31,050 ERROR: An ERROR
DATE: 2024-03-10 13:40:31,050 CRITICAL: A message of CRITICAL severity
DATE: 2024-03-10 13:40:33,004 INFO: We4not: about
DATE: 2024-03-10 13:40:39,176 INFO: We4not: connect
DATE: 2024-03-10 13:40:46,990 WARNING: In server, log doesn't writting!
